Ran 10000 trials (size 5×5, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 15, 0.8 ± 2.
Ran 10000 trials (size 6×6, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 38, 2.6 ± 3.
Ran 10000 trials (size 7×7, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 84, 5.9 ± 6.
Ran 10000 trials (size 8×8, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 85, 10.2 ± 8.
Ran 10000 trials (size 9×9, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 163, 15.2 ± 12.
Ran 10000 trials (size 10×10, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 132, 19.8 ± 14.
Ran 10000 trials (size 11×11, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 220, 23.8 ± 16.
Ran 10000 trials (size 12×12, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 3, 211, 28.0 ± 17.
Ran 10000 trials (size 13×13, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 4, 238, 32.4 ± 20.
Ran 10000 trials (size 14×14, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 5, 200, 37.3 ± 22.
Ran 10000 trials (size 15×15, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 7, 252, 42.0 ± 25.
Ran 10000 trials (size 16×16, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 7, 366, 46.8 ± 26.
Ran 10000 trials (size 17×17, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 9, 312, 51.2 ± 28.
Ran 10000 trials (size 18×18, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 9, 358, 56.9 ± 31.
Ran 10000 trials (size 19×19, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 14, 389, 60.5 ± 32.
Ran 10000 trials (size 20×20, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 13, 431, 65.2 ± 33.
Ran 10000 trials (size 21×21, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 15, 398, 70.4 ± 36.
Ran 10000 trials (size 22×22, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 16, 492, 75.4 ± 38.
Ran 10000 trials (size 23×23, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 18, 481, 81.7 ± 42.
Ran 10000 trials (size 24×24, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 20, 431, 85.5 ± 43.
Ran 10000 trials (size 25×25, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 23, 545, 90.9 ± 45.
Ran 10000 trials (size 26×26, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 21, 484, 95.9 ± 47.
Ran 10000 trials (size 27×27, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 23, 527, 100.6 ± 49.
Ran 10000 trials (size 28×28, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 22, 540, 106.6 ± 51.
Ran 10000 trials (size 29×29, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 24, 504, 109.8 ± 53.
Ran 10000 trials (size 30×30, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 28, 584, 115.2 ± 54.
Ran 10000 trials (size 31×31, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 26, 782, 121.3 ± 57.
Ran 10000 trials (size 32×32, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 32, 656, 125.3 ± 58.
Ran 10000 trials (size 33×33, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 34, 727, 131.0 ± 61.
Ran 10000 trials (size 34×34, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 34, 690, 135.4 ± 62.
Ran 10000 trials (size 35×35, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 38, 660, 141.4 ± 64.
Ran 10000 trials (size 36×36, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 41, 786, 146.5 ± 69.
Ran 10000 trials (size 37×37, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 39, 643, 152.6 ± 69.
Ran 10000 trials (size 38×38, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 41, 889, 154.9 ± 70.
Ran 10000 trials (size 39×39, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 44, 729, 161.7 ± 73.
Ran 10000 trials (size 40×40, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 45, 757, 166.2 ± 75.
Ran 10000 trials (size 41×41, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 49, 1080, 171.4 ± 77.
Ran 10000 trials (size 42×42, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 52, 1028, 177.8 ± 82.
Ran 10000 trials (size 43×43, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 51, 1527, 181.4 ± 83.
Ran 10000 trials (size 44×44, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 47, 1067, 185.9 ± 82.
Ran 10000 trials (size 45×45, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 46, 991, 192.4 ± 85.
Ran 10000 trials (size 46×46, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 50, 1179, 197.8 ± 87.
Ran 10000 trials (size 47×47, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 59, 932, 202.7 ± 90.
Ran 10000 trials (size 48×48, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 57, 1048, 207.4 ± 90.
Ran 10000 trials (size 49×49, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 61, 975, 212.5 ± 92.
Ran 10000 trials (size 50×50, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 56, 1021, 214.7 ± 94.
Ran 10000 trials (size 51×51, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 60, 1270, 222.5 ± 97.
Ran 10000 trials (size 52×52, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 54, 1631, 228.3 ± 102.
Ran 10000 trials (size 53×53, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 65, 1209, 231.9 ± 104.
Ran 10000 trials (size 54×54, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 68, 1023, 236.6 ± 102.
Ran 10000 trials (size 55×55, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 69, 1195, 240.8 ± 104.
