Ran 10000 trials (size 5×5, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 0, 15, 0.3 ± 1.
Ran 10000 trials (size 6×6, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 0, 30, 1.3 ± 2.
Ran 10000 trials (size 7×7, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 0, 51, 3.6 ± 5.
Ran 10000 trials (size 8×8, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 0, 84, 7.9 ± 9.
Ran 10000 trials (size 9×9, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 0, 127, 13.6 ± 12.
Ran 10000 trials (size 10×10, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 0, 221, 20.5 ± 16.
Ran 10000 trials (size 11×11, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 0, 228, 27.7 ± 20.
Ran 10000 trials (size 12×12, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 0, 311, 35.1 ± 24.
Ran 10000 trials (size 13×13, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 0, 305, 41.4 ± 28.
Ran 10000 trials (size 14×14, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 0, 346, 48.6 ± 31.
Ran 10000 trials (size 15×15, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 4, 365, 55.7 ± 35.
Ran 10000 trials (size 16×16, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 8, 402, 62.5 ± 37.
Ran 10000 trials (size 17×17, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 11, 407, 70.6 ± 42.
Ran 10000 trials (size 18×18, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 14, 467, 78.7 ± 45.
Ran 10000 trials (size 19×19, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 15, 486, 85.0 ± 47.
Ran 10000 trials (size 20×20, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 19, 556, 93.6 ± 52.
Ran 10000 trials (size 21×21, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 16, 630, 100.4 ± 54.
Ran 10000 trials (size 22×22, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 18, 575, 109.6 ± 59.
Ran 10000 trials (size 23×23, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 23, 580, 117.8 ± 61.
Ran 10000 trials (size 24×24, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 23, 708, 126.0 ± 65.
Ran 10000 trials (size 25×25, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 28, 721, 133.0 ± 68.
Ran 10000 trials (size 26×26, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 31, 736, 141.4 ± 71.
Ran 10000 trials (size 27×27, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 28, 873, 151.6 ± 76.
Ran 10000 trials (size 28×28, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 36, 885, 160.6 ± 81.
Ran 10000 trials (size 29×29, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 36, 910, 168.2 ± 84.
Ran 10000 trials (size 30×30, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 36, 1024, 177.3 ± 86.
Ran 10000 trials (size 31×31, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 44, 845, 184.2 ± 89.
Ran 10000 trials (size 32×32, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 47, 1070, 196.3 ± 95.
Ran 10000 trials (size 33×33, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 31, 1110, 203.4 ± 98.
Ran 10000 trials (size 34×34, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 52, 993, 213.2 ± 102.
Ran 10000 trials (size 35×35, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 47, 1381, 221.5 ± 103.
Ran 10000 trials (size 36×36, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 47, 1226, 231.6 ± 112.
Ran 10000 trials (size 37×37, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 55, 1239, 238.7 ± 113.
Ran 10000 trials (size 38×38, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 58, 979, 248.7 ± 115.
Ran 10000 trials (size 39×39, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 58, 1339, 255.5 ± 116.
Ran 10000 trials (size 40×40, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 59, 1331, 269.1 ± 125.
Ran 10000 trials (size 41×41, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 62, 1430, 277.6 ± 128.
Ran 10000 trials (size 42×42, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 68, 1421, 286.4 ± 133.
Ran 10000 trials (size 43×43, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 65, 1564, 297.7 ± 138.
Ran 10000 trials (size 44×44, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 67, 1781, 307.3 ± 144.
Ran 10000 trials (size 45×45, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 85, 1575, 313.6 ± 142.
Ran 10000 trials (size 46×46, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 90, 1687, 324.8 ± 151.
Ran 10000 trials (size 47×47, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 96, 1732, 333.5 ± 153.
Ran 10000 trials (size 48×48, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 93, 1663, 342.2 ± 156.
Ran 10000 trials (size 49×49, density 0.070, threshold 0.900). Steps (min, max, mean±stddev): 91, 1487, 351.4 ± 156.
