Ran 1000 trials (size 10×10, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 1, 45, 9.5 ± 6.
Ran 1000 trials (size 15×15, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 5, 61, 16.0 ± 8.
Ran 1000 trials (size 20×20, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 7, 114, 22.9 ± 11.
Ran 1000 trials (size 25×25, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 10, 98, 28.3 ± 12.
Ran 1000 trials (size 30×30, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 10, 133, 34.2 ± 15.
Ran 1000 trials (size 35×35, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 15, 123, 38.8 ± 16.
Ran 1000 trials (size 40×40, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 16, 179, 43.9 ± 19.
Ran 1000 trials (size 45×45, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 19, 169, 48.3 ± 19.
Ran 1000 trials (size 50×50, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 23, 202, 50.8 ± 19.
Ran 1000 trials (size 55×55, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 24, 192, 54.9 ± 21.
Ran 1000 trials (size 60×60, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 25, 170, 58.0 ± 20.
Ran 1000 trials (size 65×65, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 27, 198, 60.6 ± 23.
Ran 1000 trials (size 70×70, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 26, 346, 64.7 ± 26.
Ran 1000 trials (size 75×75, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 33, 234, 67.6 ± 23.
Ran 1000 trials (size 80×80, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 31, 210, 70.0 ± 24.
Ran 1000 trials (size 85×85, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 33, 229, 71.0 ± 24.
Ran 1000 trials (size 90×90, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 34, 209, 71.9 ± 24.
Ran 1000 trials (size 95×95, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 36, 214, 74.9 ± 25.
Ran 1000 trials (size 100×100, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 35, 365, 78.1 ± 29.
