Ran 1000 trials (size 10×10, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 83, 1.2 ± 6.
Ran 1000 trials (size 11×11, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 104, 2.6 ± 10.
Ran 1000 trials (size 12×12, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 133, 4.0 ± 13.
Ran 1000 trials (size 13×13, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 232, 8.2 ± 23.
Ran 1000 trials (size 14×14, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 282, 13.0 ± 32.
Ran 1000 trials (size 15×15, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 283, 19.7 ± 39.
Ran 1000 trials (size 16×16, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 450, 32.0 ± 60.
Ran 1000 trials (size 17×17, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 598, 47.0 ± 77.
Ran 1000 trials (size 18×18, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 787, 59.0 ± 91.
Ran 1000 trials (size 19×19, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 824, 91.0 ± 115.
Ran 1000 trials (size 20×20, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 1133, 109.0 ± 136.
Ran 1000 trials (size 21×21, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 1097, 146.1 ± 158.
Ran 1000 trials (size 22×22, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 1370, 188.8 ± 192.
Ran 1000 trials (size 23×23, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 1406, 219.7 ± 198.
Ran 1000 trials (size 24×24, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 1536, 261.5 ± 242.
Ran 1000 trials (size 25×25, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 2340, 322.1 ± 271.
Ran 1000 trials (size 26×26, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 1741, 365.4 ± 290.
Ran 1000 trials (size 27×27, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 2070, 411.1 ± 329.
Ran 1000 trials (size 28×28, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 2498, 464.3 ± 352.
Ran 1000 trials (size 29×29, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 2994, 507.2 ± 364.
Ran 1000 trials (size 30×30, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 2678, 560.3 ± 398.
Ran 1000 trials (size 31×31, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 2908, 615.6 ± 430.
Ran 1000 trials (size 32×32, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 3943, 647.9 ± 436.
Ran 1000 trials (size 33×33, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 3113, 704.0 ± 436.
