Ran 1000 trials (size 10×10, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 0, 207, 20.7 ± 18.
Ran 1000 trials (size 11×11, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 0, 192, 29.1 ± 23.
Ran 1000 trials (size 12×12, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 0, 214, 37.9 ± 27.
Ran 1000 trials (size 13×13, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 0, 412, 44.4 ± 31.
Ran 1000 trials (size 14×14, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 7, 371, 52.8 ± 34.
Ran 1000 trials (size 15×15, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 8, 407, 63.1 ± 41.
Ran 1000 trials (size 16×16, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 13, 306, 69.3 ± 41.
Ran 1000 trials (size 17×17, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 16, 461, 80.1 ± 46.
Ran 1000 trials (size 18×18, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 15, 453, 87.6 ± 50.
Ran 1000 trials (size 19×19, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 21, 477, 99.1 ± 55.
Ran 1000 trials (size 20×20, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 25, 622, 110.6 ± 63.
Ran 1000 trials (size 21×21, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 27, 413, 116.7 ± 60.
Ran 1000 trials (size 22×22, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 26, 736, 129.3 ± 72.
Ran 1000 trials (size 23×23, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 30, 672, 136.9 ± 73.
Ran 1000 trials (size 24×24, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 36, 732, 145.6 ± 75.
Ran 1000 trials (size 25×25, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 24, 618, 158.0 ± 81.
Ran 1000 trials (size 26×26, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 41, 678, 165.6 ± 86.
Ran 1000 trials (size 27×27, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 35, 699, 178.2 ± 91.
Ran 1000 trials (size 28×28, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 40, 660, 191.8 ± 97.
Ran 1000 trials (size 29×29, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 53, 911, 199.7 ± 102.
Ran 1000 trials (size 30×30, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 50, 775, 203.4 ± 96.
Ran 1000 trials (size 31×31, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 47, 837, 216.3 ± 102.
Ran 1000 trials (size 32×32, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 58, 874, 232.0 ± 114.
Ran 1000 trials (size 33×33, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 67, 930, 244.5 ± 117.
Ran 1000 trials (size 34×34, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 70, 869, 252.1 ± 115.
Ran 1000 trials (size 35×35, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 75, 1052, 272.2 ± 140.
Ran 1000 trials (size 36×36, density 0.060, threshold 0.900). Steps (min, max, mean±stddev): 71, 1472, 278.3 ± 141.
