Ran 1000 trials (size 10×10, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 2, 46, 9.8 ± 6.
Ran 1000 trials (size 11×11, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 3, 45, 11.1 ± 6.
Ran 1000 trials (size 12×12, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 2, 67, 12.6 ± 8.
Ran 1000 trials (size 13×13, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 3, 62, 14.1 ± 8.
Ran 1000 trials (size 14×14, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 3, 108, 15.3 ± 8.
Ran 1000 trials (size 15×15, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 4, 77, 17.0 ± 9.
Ran 1000 trials (size 16×16, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 5, 93, 17.7 ± 9.
Ran 1000 trials (size 17×17, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 4, 77, 18.9 ± 10.
Ran 1000 trials (size 18×18, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 5, 101, 20.5 ± 10.
Ran 1000 trials (size 19×19, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 7, 97, 21.8 ± 10.
Ran 1000 trials (size 20×20, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 7, 84, 22.6 ± 11.
Ran 1000 trials (size 21×21, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 7, 113, 24.0 ± 12.
Ran 1000 trials (size 22×22, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 9, 197, 25.7 ± 13.
Ran 1000 trials (size 23×23, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 9, 127, 26.8 ± 13.
Ran 1000 trials (size 24×24, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 7, 112, 28.1 ± 13.
Ran 1000 trials (size 25×25, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 9, 154, 29.3 ± 14.
Ran 1000 trials (size 26×26, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 10, 120, 30.3 ± 14.
Ran 1000 trials (size 27×27, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 8, 102, 30.6 ± 13.
Ran 1000 trials (size 28×28, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 11, 116, 32.2 ± 14.
Ran 1000 trials (size 29×29, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 13, 155, 33.8 ± 15.
Ran 1000 trials (size 30×30, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 11, 138, 34.9 ± 16.
Ran 1000 trials (size 31×31, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 13, 167, 35.3 ± 16.
Ran 1000 trials (size 32×32, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 11, 114, 36.5 ± 15.
Ran 1000 trials (size 33×33, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 14, 129, 37.2 ± 16.
Ran 1000 trials (size 34×34, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 14, 180, 38.6 ± 18.
Ran 1000 trials (size 35×35, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 13, 144, 38.2 ± 16.
Ran 1000 trials (size 36×36, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 13, 237, 40.5 ± 18.
Ran 1000 trials (size 37×37, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 16, 167, 40.0 ± 16.
Ran 1000 trials (size 38×38, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 15, 141, 42.0 ± 17.
Ran 1000 trials (size 39×39, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 15, 149, 43.2 ± 18.
Ran 1000 trials (size 40×40, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 18, 129, 43.1 ± 16.
Ran 1000 trials (size 41×41, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 17, 159, 44.6 ± 17.
Ran 1000 trials (size 42×42, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 17, 204, 46.7 ± 20.
Ran 1000 trials (size 43×43, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 19, 152, 45.8 ± 18.
Ran 1000 trials (size 44×44, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 19, 209, 46.6 ± 19.
Ran 1000 trials (size 45×45, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 18, 240, 47.9 ± 20.
Ran 1000 trials (size 46×46, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 20, 170, 48.5 ± 19.
Ran 1000 trials (size 47×47, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 15, 227, 49.4 ± 21.
Ran 1000 trials (size 48×48, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 21, 278, 50.6 ± 20.
Ran 1000 trials (size 49×49, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 19, 186, 50.1 ± 20.
Ran 1000 trials (size 50×50, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 22, 181, 50.3 ± 20.
Ran 1000 trials (size 10×10, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 1, 24, 4.8 ± 3.
Ran 1000 trials (size 11×11, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 1, 22, 5.2 ± 3.
Ran 1000 trials (size 12×12, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 1, 25, 5.8 ± 3.
Ran 1000 trials (size 13×13, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 1, 31, 6.3 ± 3.
Ran 1000 trials (size 14×14, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 2, 24, 6.7 ± 3.
Ran 1000 trials (size 15×15, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 2, 28, 7.1 ± 3.
Ran 1000 trials (size 16×16, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 2, 27, 7.5 ± 3.
Ran 1000 trials (size 17×17, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 3, 36, 8.1 ± 4.
Ran 1000 trials (size 18×18, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 2, 34, 8.4 ± 4.
Ran 1000 trials (size 19×19, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 3, 35, 8.9 ± 4.
Ran 1000 trials (size 20×20, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 3, 39, 9.2 ± 4.
Ran 1000 trials (size 21×21, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 3, 33, 9.5 ± 4.
Ran 1000 trials (size 22×22, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 4, 65, 10.1 ± 5.
Ran 1000 trials (size 23×23, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 4, 39, 10.4 ± 4.
Ran 1000 trials (size 24×24, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 4, 36, 10.8 ± 4.
Ran 1000 trials (size 25×25, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 5, 32, 10.9 ± 4.
Ran 1000 trials (size 26×26, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 4, 43, 11.3 ± 4.
Ran 1000 trials (size 27×27, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 5, 57, 11.8 ± 5.
Ran 1000 trials (size 28×28, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 5, 42, 11.8 ± 4.
Ran 1000 trials (size 29×29, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 5, 57, 11.9 ± 5.
Ran 1000 trials (size 30×30, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 5, 45, 12.3 ± 4.
Ran 1000 trials (size 31×31, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 5, 52, 12.6 ± 4.
Ran 1000 trials (size 32×32, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 6, 57, 12.8 ± 5.
Ran 1000 trials (size 33×33, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 5, 46, 13.0 ± 5.
Ran 1000 trials (size 34×34, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 6, 61, 13.4 ± 5.
Ran 1000 trials (size 35×35, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 6, 50, 13.7 ± 5.
Ran 1000 trials (size 36×36, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 6, 39, 13.7 ± 5.
Ran 1000 trials (size 37×37, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 7, 72, 14.1 ± 5.
Ran 1000 trials (size 38×38, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 6, 57, 14.3 ± 5.
Ran 1000 trials (size 39×39, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 6, 44, 14.6 ± 5.
Ran 1000 trials (size 40×40, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 7, 44, 14.9 ± 5.
Ran 1000 trials (size 41×41, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 6, 47, 14.8 ± 5.
Ran 1000 trials (size 42×42, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 7, 46, 15.1 ± 5.
Ran 1000 trials (size 43×43, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 7, 53, 15.4 ± 5.
Ran 1000 trials (size 44×44, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 7, 57, 15.6 ± 5.
Ran 1000 trials (size 45×45, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 8, 71, 15.5 ± 5.
Ran 1000 trials (size 46×46, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 7, 43, 15.7 ± 5.
Ran 1000 trials (size 47×47, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 7, 51, 15.7 ± 5.
Ran 1000 trials (size 48×48, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 8, 48, 15.7 ± 5.
Ran 1000 trials (size 49×49, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 8, 50, 15.9 ± 5.
Ran 1000 trials (size 50×50, density 0.300, threshold 0.900). Steps (min, max, mean±stddev): 8, 43, 16.2 ± 5.
Ran 1000 trials (size 10×10, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 0, 10, 2.2 ± 1.
Ran 1000 trials (size 11×11, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 0, 10, 2.5 ± 1.
Ran 1000 trials (size 12×12, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 1, 18, 2.8 ± 2.
Ran 1000 trials (size 13×13, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 1, 17, 2.9 ± 2.
Ran 1000 trials (size 14×14, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 1, 15, 3.2 ± 2.
Ran 1000 trials (size 15×15, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 1, 17, 3.3 ± 2.
Ran 1000 trials (size 16×16, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 1, 15, 3.5 ± 2.
Ran 1000 trials (size 17×17, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 1, 17, 3.7 ± 2.
Ran 1000 trials (size 18×18, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 1, 12, 3.9 ± 2.
Ran 1000 trials (size 19×19, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 1, 16, 4.0 ± 2.
Ran 1000 trials (size 20×20, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 1, 11, 4.2 ± 1.
Ran 1000 trials (size 21×21, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 1, 13, 4.3 ± 2.
Ran 1000 trials (size 22×22, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 1, 13, 4.4 ± 2.
Ran 1000 trials (size 23×23, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 2, 16, 4.7 ± 2.
Ran 1000 trials (size 24×24, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 2, 14, 4.9 ± 2.
Ran 1000 trials (size 25×25, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 2, 21, 4.8 ± 2.
Ran 1000 trials (size 26×26, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 2, 14, 5.0 ± 2.
Ran 1000 trials (size 27×27, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 2, 14, 5.0 ± 2.
Ran 1000 trials (size 28×28, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 1, 17, 5.2 ± 2.
Ran 1000 trials (size 29×29, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 2, 14, 5.3 ± 2.
Ran 1000 trials (size 30×30, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 2, 16, 5.4 ± 2.
Ran 1000 trials (size 31×31, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 2, 19, 5.3 ± 2.
Ran 1000 trials (size 32×32, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 2, 15, 5.5 ± 2.
Ran 1000 trials (size 33×33, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 2, 17, 5.6 ± 2.
Ran 1000 trials (size 34×34, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 2, 12, 5.6 ± 1.
Ran 1000 trials (size 35×35, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 3, 14, 5.7 ± 2.
Ran 1000 trials (size 36×36, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 3, 15, 5.7 ± 2.
Ran 1000 trials (size 37×37, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 3, 17, 5.8 ± 2.
Ran 1000 trials (size 38×38, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 2, 14, 5.9 ± 2.
Ran 1000 trials (size 39×39, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 3, 17, 6.0 ± 2.
Ran 1000 trials (size 40×40, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 3, 30, 6.2 ± 2.
Ran 1000 trials (size 41×41, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 3, 18, 6.1 ± 2.
Ran 1000 trials (size 42×42, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 3, 17, 6.3 ± 2.
Ran 1000 trials (size 43×43, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 3, 20, 6.3 ± 2.
Ran 1000 trials (size 44×44, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 3, 14, 6.3 ± 2.
