Ran 100 trials (size 10×10, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 3, 124, 32 ± 21.
Ran 100 trials (size 15×15, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 17, 198, 63 ± 35.
Ran 100 trials (size 20×20, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 40, 302, 107 ± 54.
Ran 100 trials (size 25×25, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 49, 398, 152 ± 68.
Ran 100 trials (size 30×30, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 62, 543, 206 ± 105.
Ran 100 trials (size 35×35, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 72, 530, 241 ± 104.
Ran 100 trials (size 40×40, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 121, 954, 317 ± 159.
Ran 100 trials (size 45×45, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 137, 846, 338 ± 155.
Ran 100 trials (size 50×50, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 126, 815, 370 ± 147.
Ran 100 trials (size 55×55, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 187, 1491, 454 ± 212.
Ran 100 trials (size 60×60, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 171, 1612, 510 ± 262.
Ran 100 trials (size 65×65, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 218, 1279, 558 ± 224.
Ran 100 trials (size 70×70, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 241, 2093, 638 ± 319.
Ran 100 trials (size 75×75, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 252, 2117, 657 ± 290.
Ran 100 trials (size 80×80, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 331, 1938, 710 ± 255.
Ran 100 trials (size 85×85, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 332, 2235, 780 ± 342.
Ran 100 trials (size 90×90, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 361, 2318, 805 ± 332.
Ran 100 trials (size 95×95, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 312, 2104, 885 ± 346.
Ran 100 trials (size 100×100, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 387, 2109, 916 ± 368.
Ran 100 trials (size 105×105, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 370, 2323, 1013 ± 408.
Ran 100 trials (size 110×110, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 515, 3749, 1097 ± 530.
Ran 100 trials (size 115×115, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 504, 3188, 1099 ± 456.
Ran 100 trials (size 120×120, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 463, 3824, 1217 ± 528.
Ran 100 trials (size 125×125, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 518, 2945, 1210 ± 485.
Ran 100 trials (size 130×130, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 537, 3027, 1143 ± 462.
Ran 100 trials (size 135×135, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 516, 3183, 1333 ± 574.
Ran 100 trials (size 140×140, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 533, 3331, 1427 ± 537.
Ran 100 trials (size 145×145, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 575, 3542, 1431 ± 620.
Ran 100 trials (size 150×150, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 471, 4495, 1499 ± 688.
Ran 100 trials (size 155×155, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 645, 3723, 1458 ± 567.
Ran 100 trials (size 160×160, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 640, 4780, 1472 ± 647.
Ran 100 trials (size 165×165, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 655, 4394, 1556 ± 593.
Ran 100 trials (size 170×170, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 778, 3911, 1617 ± 633.
