Ran 3000 trials (size 10×10, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 11×11, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 12×12, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 13×13, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 14×14, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 15×15, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 16×16, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 17×17, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 18×18, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 19×19, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 20×20, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 21×21, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 22×22, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 23×23, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 24×24, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 25×25, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 26×26, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 27×27, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 28×28, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 29×29, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 30×30, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 3000 trials (size 31×31, density 0.100, threshold 0.010). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
