Ran 5000 trials (size 1×1, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 5000 trials (size 2×2, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 0, 0.0 ± 0.
Ran 5000 trials (size 3×3, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 4, 0.0 ± 0.
Ran 5000 trials (size 4×4, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 25, 0.3 ± 1.
Ran 5000 trials (size 5×5, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 35, 1.4 ± 3.
Ran 5000 trials (size 6×6, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 124, 4.7 ± 7.
Ran 5000 trials (size 7×7, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 85, 9.4 ± 10.
Ran 5000 trials (size 8×8, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 227, 17.4 ± 17.
Ran 5000 trials (size 9×9, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 229, 23.7 ± 18.
Ran 5000 trials (size 10×10, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 325, 31.8 ± 25.
Ran 5000 trials (size 11×11, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 0, 252, 37.5 ± 26.
Ran 5000 trials (size 12×12, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 2, 618, 44.6 ± 31.
Ran 5000 trials (size 13×13, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 5, 284, 51.3 ± 31.
Ran 5000 trials (size 14×14, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 7, 390, 59.4 ± 36.
Ran 5000 trials (size 15×15, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 11, 440, 66.6 ± 40.
Ran 5000 trials (size 16×16, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 10, 412, 73.8 ± 43.
Ran 5000 trials (size 17×17, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 14, 433, 80.8 ± 44.
Ran 5000 trials (size 18×18, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 16, 551, 90.9 ± 51.
Ran 5000 trials (size 19×19, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 19, 485, 98.4 ± 54.
Ran 5000 trials (size 20×20, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 22, 640, 105.7 ± 57.
Ran 5000 trials (size 21×21, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 23, 613, 114.8 ± 59.
Ran 5000 trials (size 22×22, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 26, 639, 125.0 ± 67.
Ran 5000 trials (size 23×23, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 31, 639, 132.6 ± 69.
Ran 5000 trials (size 24×24, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 33, 710, 141.0 ± 73.
Ran 5000 trials (size 25×25, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 29, 861, 148.4 ± 76.
Ran 5000 trials (size 26×26, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 31, 787, 158.9 ± 79.
Ran 5000 trials (size 27×27, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 42, 909, 166.6 ± 82.
Ran 5000 trials (size 28×28, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 43, 840, 174.2 ± 85.
Ran 5000 trials (size 29×29, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 41, 960, 185.2 ± 89.
Ran 5000 trials (size 30×30, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 46, 908, 196.2 ± 97.
Ran 5000 trials (size 31×31, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 51, 956, 206.2 ± 100.
Ran 5000 trials (size 32×32, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 48, 969, 215.3 ± 104.
Ran 5000 trials (size 33×33, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 59, 1073, 225.6 ± 109.
Ran 5000 trials (size 34×34, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 54, 1012, 235.3 ± 112.
Ran 5000 trials (size 35×35, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 70, 1279, 246.4 ± 120.
Ran 5000 trials (size 36×36, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 63, 1006, 252.9 ± 117.
Ran 5000 trials (size 37×37, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 62, 1093, 262.1 ± 122.
Ran 5000 trials (size 38×38, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 73, 1082, 274.7 ± 126.
Ran 5000 trials (size 39×39, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 80, 1116, 281.6 ± 129.
Ran 5000 trials (size 40×40, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 81, 1179, 293.3 ± 137.
Ran 5000 trials (size 41×41, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 83, 1591, 304.8 ± 143.
Ran 5000 trials (size 42×42, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 90, 1502, 315.7 ± 150.
Ran 5000 trials (size 43×43, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 91, 1383, 322.3 ± 145.
Ran 5000 trials (size 44×44, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 88, 1696, 339.0 ± 157.
Ran 5000 trials (size 45×45, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 100, 1391, 342.7 ± 158.
Ran 5000 trials (size 46×46, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 87, 1353, 356.2 ± 160.
Ran 5000 trials (size 47×47, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 99, 1969, 365.8 ± 166.
Ran 5000 trials (size 48×48, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 106, 1728, 376.6 ± 168.
Ran 5000 trials (size 49×49, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 110, 1935, 386.5 ± 177.
Ran 5000 trials (size 50×50, density 0.100, threshold 0.900). Steps (min, max, mean±stddev): 116, 1744, 400.4 ± 177.
